"Date","Price","Open","High","Low","Vol.","Change %"
"02/16/2024","27.15","28.17","28.17","27.15","408.72K","-3.04%"
"02/15/2024","28.00","29.45","29.45","27.91","543.87K","-3.78%"
"02/14/2024","29.10","28.55","29.73","28.55","510.50K","1.22%"
"02/13/2024","28.75","28.00","28.75","27.25","731.00K","-0.83%"
"02/12/2024","28.99","28.01","28.99","27.02","397.50K","2.44%"
"02/09/2024","28.30","28.51","28.51","27.70","637.50K","-3.38%"
"02/07/2024","29.29","29.10","29.48","28.71","339.50K","1.00%"
"02/06/2024","29.00","28.73","29.50","28.25","906.50K","2.04%"
"02/02/2024","28.42","28.60","28.82","28.25","630.50K","-0.28%"
"02/01/2024","28.50","27.98","28.74","27.75","992.00K","2.89%"
"01/31/2024","27.70","28.44","28.80","27.56","806.50K","-1.95%"
"01/30/2024","28.25","28.90","29.17","27.80","623.00K","-2.59%"
"01/29/2024","29.00","29.97","29.97","28.65","320.50K","-3.27%"
"01/26/2024","29.98","31.10","31.10","29.74","387.00K","-3.76%"
"01/25/2024","31.15","31.10","31.29","30.75","296.00K","-0.80%"
"01/24/2024","31.40","31.45","31.50","31.15","205.50K","0.45%"
"01/23/2024","31.26","31.39","31.88","31.10","537.00K","-0.26%"
"01/22/2024","31.34","31.44","31.44","31.00","169.00K","-0.48%"
"01/19/2024","31.49","31.49","31.69","31.05","167.50K","1.25%"
"01/18/2024","31.10","31.63","31.64","30.93","1.37M","-2.63%"
"01/17/2024","31.94","31.70","32.20","31.35","137.00K","-0.13%"
"01/16/2024","31.98","31.99","32.24","31.20","425.50K","0.13%"
"01/15/2024","31.94","32.55","32.72","31.66","883.00K","-0.81%"
"01/12/2024","32.20","32.05","32.50","31.85","411.50K","0.31%"
"01/11/2024","32.10","31.98","32.18","31.76","257.50K","1.26%"
"01/10/2024","31.70","31.86","32.24","31.50","993.50K","-1.67%"
"01/09/2024","32.24","32.74","32.74","31.86","334.00K","-0.74%"
"01/08/2024","32.48","32.50","32.79","31.99","585.50K","-0.15%"
"01/05/2024","32.53","33.04","33.23","32.35","719.00K","-0.55%"
"01/04/2024","32.71","32.38","33.09","32.11","638.50K","-1.00%"
"01/03/2024","33.04","33.15","33.65","32.05","2.16M","-0.03%"
"01/02/2024","33.05","33.38","33.43","32.42","1.57M","0.15%"
"01/01/2024","33.00","32.47","33.37","32.30","1.78M","3.09%"
"12/29/2023","32.01","33.35","33.35","31.90","1.39M","-2.85%"
"12/28/2023","32.95","33.75","33.88","32.95","2.45M","-0.90%"
"12/27/2023","33.25","32.01","33.85","32.00","1.58M","4.56%"
"12/26/2023","31.80","32.98","33.00","31.26","1.05M","-3.64%"
"12/22/2023","33.00","33.39","33.95","32.60","708.00K","-1.52%"
"12/21/2023","33.51","33.47","33.66","32.51","1.25M","1.55%"
"12/20/2023","33.00","33.15","34.25","32.51","2.34M","-2.37%"
