"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2022","64.82","65.00","66.28","64.55","2.15M","1.00%"
"05/26/2022","64.18","63.49","64.64","62.81","1.49M","1.22%"
"05/25/2022","63.40","63.06","63.90","62.35","1.24M","0.25%"
"05/24/2022","63.25","66.00","66.00","62.76","1.46M","-2.96%"
"05/23/2022","65.18","66.00","66.00","64.88","657.73K","-1.23%"
"05/20/2022","66.00","66.38","66.66","65.77","1.05M","0.02%"
"05/19/2022","65.98","66.89","66.89","65.75","520.50K","0.44%"
"05/18/2022","65.69","66.24","67.00","65.60","1.17M","-0.47%"
"05/17/2022","66.00","65.93","66.22","65.31","1.37M","0.98%"
"05/16/2022","65.36","66.00","66.00","64.56","1.01M","-1.04%"
"05/13/2022","66.04","65.00","66.47","65.00","521.72K","2.07%"
"05/12/2022","64.71","66.50","66.50","64.50","1.80M","-1.63%"
"05/11/2022","65.78","67.95","67.95","64.75","1.51M","-1.89%"
"05/10/2022","67.04","67.75","68.33","66.65","233.10K","-0.45%"
"05/09/2022","67.35","68.50","68.93","66.25","2.53M","-1.91%"
"05/06/2022","68.66","68.97","69.50","68.55","657.54K","-0.05%"
"04/28/2022","68.69","69.25","69.25","67.75","260.85K","0.15%"
"04/27/2022","68.59","69.90","69.90","68.00","271.04K","-3.16%"
"04/26/2022","70.82","71.20","71.20","70.28","856.07K","0.30%"
"04/25/2022","70.61","71.87","71.87","70.45","2.11M","-0.05%"
"04/22/2022","70.64","70.75","70.97","70.26","775.18K","-0.04%"
"04/21/2022","70.68","71.00","71.00","70.25","904.40K","-0.43%"
"04/20/2022","70.98","70.20","71.64","69.63","3.49M","1.35%"
"04/19/2022","70.04","71.25","71.25","69.57","1.04M","-0.31%"
"04/18/2022","70.25","70.56","70.95","69.75","1.05M","-1.11%"
"04/15/2022","71.04","71.00","71.25","70.68","64.45K","0.08%"
"04/14/2022","70.98","71.00","71.45","70.57","531.84K","0.33%"
"04/13/2022","70.75","72.47","72.47","70.54","873.99K","-1.70%"
"04/12/2022","71.97","71.01","72.10","71.00","1.70M","0.40%"
"04/11/2022","71.68","71.00","72.10","71.00","2.72M","3.38%"
"04/08/2022","69.33","67.75","69.97","67.75","3.40M","4.15%"
"04/07/2022","66.57","68.75","68.75","66.15","7.20M","-3.19%"
"04/06/2022","68.76","69.50","69.51","68.53","1.37M","-0.02%"
"04/05/2022","68.78","68.50","69.39","68.03","767.63K","-0.48%"
"04/04/2022","69.11","68.25","70.00","68.25","1.19M","-1.73%"
"04/01/2022","70.32","68.38","71.07","68.25","7.43M","3.12%"
"03/31/2022","68.19","68.25","68.75","67.97","5.85M","-0.39%"
"03/30/2022","68.46","69.18","69.25","68.30","5.45M","-0.73%"
"03/29/2022","68.96","69.00","69.75","68.40","1.48M","0.07%"
"03/28/2022","68.91","68.72","69.25","68.00","5.38M","0.66%"
"03/25/2022","68.46","69.00","69.00","68.25","1.57M","-0.67%"
"03/24/2022","68.92","69.65","69.65","68.60","10.68M","-0.83%"
"03/22/2022","69.50","69.99","70.00","69.31","8.48M","-0.14%"
"03/21/2022","69.59","70.25","70.25","69.50","3.68M","-0.78%"
"03/18/2022","70.14","71.50","71.50","69.63","5.35M","-5.31%"
"03/17/2022","74.07","73.61","74.50","73.50","2.52M","0.63%"
"03/16/2022","73.61","73.43","74.47","73.00","3.63M","0.93%"
"03/15/2022","72.93","73.32","74.00","72.75","4.15M","-0.53%"
"03/14/2022","73.32","74.95","74.95","73.00","1.58M","-1.50%"
"03/11/2022","74.43","74.50","74.50","72.53","541.68K","0.57%"
"03/10/2022","74.01","72.87","74.50","72.20","1.83M","2.17%"
"03/09/2022","72.44","71.75","73.50","71.75","792.34K","0.46%"
"03/08/2022","72.11","72.00","73.75","71.60","1.23M","-0.46%"
"03/07/2022","72.44","73.75","74.40","71.49","1.62M","-2.54%"
"03/04/2022","74.32","73.51","74.63","73.51","1.05M","0.42%"
"03/03/2022","74.01","73.41","74.53","73.25","875.89K","0.82%"
"03/02/2022","73.41","74.50","74.50","72.69","1.27M","-1.18%"
"03/01/2022","74.29","74.45","75.10","74.00","1.28M","0.19%"
"02/28/2022","74.14","75.33","75.33","73.55","477.22K","-0.42%"
"02/25/2022","74.46","74.75","75.00","73.57","692.72K","0.27%"
"02/24/2022","74.26","73.05","74.99","73.00","4.38M","-0.86%"
"02/23/2022","74.90","72.50","75.45","71.75","10.73M","3.36%"
"02/22/2022","72.47","72.50","72.90","71.25","1.97M","0.82%"
"02/21/2022","71.88","71.78","72.45","71.68","184.09K","-0.92%"
"02/18/2022","72.55","71.88","72.94","71.50","1.20M","1.31%"
"02/17/2022","71.61","70.58","71.99","70.58","1.08M","0.00%"
"02/16/2022","71.61","71.40","71.97","71.40","271.85K","0.13%"
"02/15/2022","71.53","71.49","71.75","71.00","721.01K","0.05%"
"02/14/2022","71.49","72.00","72.00","71.25","470.21K","-0.38%"
"02/11/2022","71.76","70.22","72.00","70.22","2.61M","1.84%"
"02/10/2022","70.46","70.06","70.85","70.06","914.88K","0.06%"
"02/09/2022","70.42","69.82","71.00","69.82","299.74K","0.87%"
