Date,Price,Open,High,Low,Vol.,Change %
01/01/2020,151,146.67,167.11,140.56,9.93M,2.57%
02/01/2020,134.44,147.23,152.11,128.39,3.93M,-10.96%
03/01/2020,99.19,137.78,141.67,90.67,16.95M,-26.22%
04/01/2020,130.28,100,130.28,95.89,7.51M,31.34%
05/01/2020,137.78,129.89,142.78,122.22,10.18M,5.75%
06/01/2020,138.32,137.56,142.78,132.22,5.07M,0.40%
07/01/2020,153.33,138,154.44,135.56,6.79M,10.85%
08/01/2020,160.44,152.22,163.89,146.67,7.07M,4.64%
09/01/2020,152.78,163.33,166.64,143.51,4.98M,-4.78%
10/01/2020,138.73,152.78,158.33,135.56,4.13M,-9.19%
11/01/2020,150.22,137.78,161.63,133.33,5.84M,8.28%
12/01/2020,149.89,151.32,162.94,146.5,7.72M,-0.22%
01/01/2021,156.67,148.78,172.22,146.78,12.71M,4.52%
02/01/2021,177.78,157.67,191.67,157.66,15.63M,13.48%
03/01/2021,171.11,177.78,180.56,162.44,5.89M,-3.75%
04/01/2021,168.33,173.21,184.44,165.56,7.50M,-1.62%
05/01/2021,173.33,173.22,178.67,166.12,5.84M,2.97%
06/01/2021,169.44,175.87,177.67,165.11,6.83M,-2.24%
07/01/2021,167.89,168.33,172.22,166.67,2.10M,-0.92%
08/01/2021,171.11,168.24,172.22,163.89,3.76M,1.92%
09/01/2021,173.22,170.53,176.67,167.23,4.92M,1.23%
10/01/2021,188.89,172.44,200.83,171.12,9.34M,9.04%
11/01/2021,190,191,197.22,183.44,7.52M,0.59%
12/01/2021,183.89,187.94,189.65,175,6.13M,-3.22%
01/01/2022,188.89,182.22,194.33,180,4.53M,2.72%
02/01/2022,198.89,188.89,199.89,185.33,5.73M,5.29%
03/01/2022,196.11,198.77,200.78,188.89,2.39M,-1.40%
04/01/2022,190,197.2,199.33,188.78,2.64M,-3.12%
05/01/2022,178.9,193.11,193.11,175.01,3.40M,-5.84%
06/01/2022,193,180.77,201.67,178.14,12.96M,7.88%
07/01/2022,188.22,195.33,197.78,186.22,3.64M,-2.48%
08/01/2022,187.78,187.8,195.56,185.78,6.20M,-0.24%
09/01/2022,174.44,188.89,190.44,170.56,5.13M,-7.10%
10/01/2022,186.67,173.33,192,172.22,5.50M,7.01%
11/01/2022,185.44,186.67,188.33,182.11,4.86M,-0.66%
12/01/2022,175,185.56,186.67,167.78,5.67M,-5.63%
01/01/2023,168.67,172.21,174.67,153.89,14.64M,-3.62%
02/01/2023,159.61,168.89,173.11,157.97,7.15M,-5.37%
03/01/2023,168.78,159.11,172.59,158.89,6.75M,5.74%
04/01/2023,176.65,168.33,186.88,166.22,5.15M,4.66%
05/01/2023,171.44,176.67,178.89,167.11,6.89M,-2.95%
06/01/2023,167.78,171.11,182.56,164.44,10.10M,-2.14%
07/01/2023,178.33,180.92,181.78,169.11,12.03M,6.29%
08/01/2023,177.77,178.89,192.89,173.35,18.53M,-0.32%
09/01/2023,173.54,177.56,181.67,170.45,5.02M,-2.38%
10/01/2023,174.87,173.33,180,168.4,9.51M,0.76%
11/01/2023,189.56,174.78,205.56,172,17.62M,8.40%
12/01/2023,232.22,190,249.44,188.33,29.86M,22.51%
01/01/2024,250.02,233.78,285.44,230.11,21.66M,7.67%
02/01/2024,260.89,251.67,265.49,233.33,7.67M,4.35%
03/01/2024,281.11,261.11,285.4,260,8.23M,7.75%
04/01/2024,303.11,283.33,316.56,276.17,8.57M,7.83%
05/01/2024,309.89,303.33,317.22,297.22,16.58M,2.24%
06/01/2024,300.33,308.89,311,278.89,7.04M,-3.08%
07/01/2024,294.56,302.2,306,290,7.66M,-1.92%
08/01/2024,377,294.44,386.11,282.81,33.47M,27.99%
09/01/2024,425.54,377.78,483.98,377.56,32.68M,12.88%
10/01/2024,406.47,430,457.49,399,27.88M,-4.48%
11/01/2024,462.22,405.43,476,403.97,50.39M,13.72%
12/01/2024,719.61,465.99,900.23,461.5,108.15M,55.69%
01/01/2025,592.45,719.61,744,512.02,53.91M,-17.67%
02/01/2025,548.56,593.01,599,544.6,25.78M,-7.41%
03/01/2025,684.16,548.56,722.8,534,48.63M,24.72%
04/01/2025,605.89,685,720,592,53.48M,-11.44%
05/01/2025,623.34,619,660,539.13,30.98M,2.88%
06/01/2025,626.89,625,659.7,596.05,20.12M,0.57%
07/01/2025,621.31,630.5,656,607.5,24.72M,-0.89%
08/01/2025,626.22,622.07,674.9,606,30.36M,0.79%
09/01/2025,741.04,627,752,624.5,64.82M,18.34%
10/01/2025,700.11,747,795,685.11,49.58M,-5.52%
11/01/2025,704.44,708,718,679.1,21.46M,0.62%
12/01/2025,715.89,705.1,727,698,19.89M,1.63%
01/01/2026,710.07,716,755,693.01,33.69M,-0.81%
02/01/2026,605.07,712,716.81,595.56,17.63M,-14.79%
03/01/2026,628.01,550,665,544.56,22.64M,3.79%
04/01/2026,629.82,634,658.9,625.51,2.17M,0.29%
