Date,Price,Open,High,Low,Vol.,Change %
01/01/2020,476,430,516.85,426,19.49M,11.67%
02/01/2020,489.09,466,497,453.02,14.85M,2.75%
03/01/2020,369,495,583,305,36.94M,-24.55%
04/01/2020,469.01,368.75,483.9,353,41.81M,27.10%
05/01/2020,457.1,463,468,432,12.77M,-2.54%
06/01/2020,462.01,461,478.49,428.5,10.83M,1.07%
07/01/2020,582.01,462.58,584.9,462.58,25.21M,25.97%
08/01/2020,614,585.98,627.99,575.1,37.43M,5.50%
09/01/2020,648,614,674.99,609,23.11M,5.54%
10/01/2020,673,646,711,620,18.18M,3.86%
11/01/2020,654.35,666,693,638.1,13.07M,-2.77%
12/01/2020,696,655.1,705.4,655.1,11.27M,6.37%
01/01/2021,727.29,705,744.9,682,13.11M,4.50%
02/01/2021,884.73,732,897,710.03,19.56M,21.65%
03/01/2021,819.5,884.99,904,792.01,14.25M,-7.37%
04/01/2021,835.01,821,878.15,801.02,7.08M,1.89%
05/01/2021,932,838.15,939,824.01,16.71M,11.62%
06/01/2021,864.99,933.9,945,858.01,8.74M,-7.19%
07/01/2021,884.5,866,924,865.5,7.14M,2.26%
08/01/2021,830,889.7,892.97,808,5.90M,-6.16%
09/01/2021,721.1,832,839,692.5,7.88M,-13.12%
10/01/2021,775,727.9,779.9,635.02,10.70M,7.47%
11/01/2021,719,809.99,818.44,668.15,20.78M,-7.23%
12/01/2021,679.28,725.1,735.75,608.55,17.29M,-5.52%
01/01/2022,681,680,703,646.8,4.85M,0.25%
02/01/2022,655,676.5,704.75,622.15,3.98M,-3.82%
03/01/2022,636.35,664.99,664.99,545.5,7.19M,-2.85%
04/01/2022,565.5,636.35,650,558.01,7.32M,-11.13%
05/01/2022,473,566.77,566.77,454.51,8.25M,-16.36%
06/01/2022,456,474.96,476,427.26,13.92M,-3.59%
07/01/2022,411.93,458,463,407.31,6.17M,-9.66%
08/01/2022,518.5,412,540,409.01,25.53M,25.87%
09/01/2022,496.56,518.98,529.51,470,12.31M,-4.23%
10/01/2022,485.99,498.89,523,478.23,9.46M,-2.13%
11/01/2022,473,493.74,494.75,455.5,6.19M,-2.67%
12/01/2022,446,476.9,476.9,408.66,5.44M,-5.71%
01/01/2023,409,447.75,448.48,375.55,8.03M,-8.30%
02/01/2023,413.5,412.89,434,402.04,8.71M,1.10%
03/01/2023,405,413.5,432.89,390.11,7.91M,-2.06%
04/01/2023,401.99,404,415,391,1.46M,-0.74%
05/01/2023,516,416,541,416,15.56M,28.36%
06/01/2023,521.5,515,538.6,501.9,10.37M,1.07%
07/01/2023,589.5,561.25,594.1,537,11.51M,13.04%
08/01/2023,556.01,599.49,630.42,551.01,11.14M,-5.68%
09/01/2023,563.1,555,568.3,520.55,4.39M,1.28%
10/01/2023,635,566,636.1,561.5,5.95M,12.77%
11/01/2023,789,636,795,627,21.91M,24.25%
12/01/2023,790,790,830,730,9.31M,0.13%
01/01/2024,736.95,790.11,817.97,726,6.10M,-6.72%
02/01/2024,749.15,741,780,693.8,4.69M,1.66%
03/01/2024,765,755,779.85,710.53,2.99M,2.12%
04/01/2024,836,756.1,875,751.52,3.58M,9.28%
05/01/2024,897.5,838.1,913,830.3,5.75M,7.36%
06/01/2024,903.13,901.99,975,885,4.92M,0.63%
07/01/2024,872,906,939,862.1,2.62M,-3.45%
08/01/2024,831,889.77,900,827,1.27M,-4.70%
09/01/2024,884.04,839.99,902.89,821.01,3.72M,6.38%
10/01/2024,883.2,886,944.99,827,7.99M,-0.10%
11/01/2024,"1,019.55",886.99,"1,060.00",879,5.56M,15.44%
12/01/2024,"1,100.49","1,025.00","1,283.84","1,019.55",7.57M,7.94%
01/01/2025,236.17,222.97,246,214,29.00M,-78.54%
02/01/2025,284.83,236.8,307.1,235,59.39M,20.61%
03/01/2025,299.32,283.05,314,281.8,27.31M,5.09%
04/01/2025,327.29,298,383.25,282.4,71.10M,9.34%
05/01/2025,335.62,336.1,364.95,274.43,57.89M,2.55%
06/01/2025,355.24,336.05,374,315,55.19M,5.85%
07/01/2025,356.95,357,374.89,345,38.25M,0.48%
08/01/2025,427.42,358,435,355,43.79M,19.74%
09/01/2025,475.89,429.2,494.5,428.01,46.41M,11.34%
10/01/2025,459.87,478.89,484.99,425,27.67M,-3.37%
11/01/2025,458.24,465,465.48,421.87,23.11M,-0.35%
12/01/2025,474.96,464,529.5,455,37.28M,3.65%
01/01/2026,482.13,476.01,516.88,462.51,39.79M,1.51%
02/01/2026,422.18,483.5,486.82,397,50.13M,-12.43%
03/01/2026,356.86,379.96,410.2,339,59.59M,-15.47%
04/01/2026,375.86,368,392.55,368,8.26M,5.32%
