Date,Price,Open,High,Low,Vol.,Change %
07/01/2025,366.68,276,380,275.95,66.37M,32.88%
08/01/2025,380.84,366,392,365,16.77M,3.86%
09/01/2025,386.06,381.1,399.9,350.2,27.36M,1.37%
10/01/2025,384.87,389.88,410.3,360.42,29.74M,-0.31%
11/01/2025,379.03,386.9,386.9,367,13.65M,-1.52%
12/01/2025,424.59,380,427.9,372.72,27.01M,12.02%
01/01/2026,486.92,425,517,424.99,50.36M,14.68%
02/01/2026,439.8,487.5,509,430,29.91M,-9.68%
03/01/2026,331.95,395.82,424,328,40.22M,-24.52%
04/01/2026,340.4,338,356,337,7.45M,2.55%
